Name,Team,Deviation,Over Percentage,Under Percentage,Over w/ Push,Under w/ Push,Games,Insight,Line,Type,Opponent,Rank,StatPerGame,Player Link
Patrick Mahomes,KAN,0.13,40.0%,60.0%,40.0%,60.0%,15,N/A,277.5,Pass Yards,CIN,29,270.86,https://www.pro-football-reference.com/players/M/MahoPa00.htm,https://www.pro-football-reference.com/teams/kan/2021.htm
Joe Burrow,CIN,0.07,53.33%,46.67%,53.33%,46.67%,15,N/A,270.5,Pass Yards,KAN,25,263.21,https://www.pro-football-reference.com/players/B/BurrJo01.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
Jalen Hurts,PHI,0.22,50.0%,50.0%,50.0%,50.0%,14,N/A,190.5,Pass Yards,WAS,30,288.43,https://www.pro-football-reference.com/players/H/HurtJa00.htm,https://www.pro-football-reference.com/teams/phi/2021.htm
Taylor Heinicke,WAS,0.57,78.57%,21.43%,78.57%,21.43%,14,N/A,180.5,Pass Yards,PHI,9,231.0,https://www.pro-football-reference.com/players/H/HeinTa00.htm,https://www.pro-football-reference.com/teams/was/2021.htm
Tom Brady,TAM,0.39,60.0%,40.0%,60.0%,40.0%,15,N/A,275.5,Pass Yards,NYJ,28,267.86,https://www.pro-football-reference.com/players/B/BradTo00.htm,https://www.pro-football-reference.com/teams/tam/2021.htm
Zach Wilson,NYJ,0.04,54.55%,45.45%,54.55%,45.45%,11,N/A,185.5,Pass Yards,TAM,21,259.36,https://www.pro-football-reference.com/players/W/WilsZa00.htm,https://www.pro-football-reference.com/teams/nyj/2021.htm
Matthew Stafford,LAR,0.27,73.33%,26.67%,73.33%,26.67%,15,N/A,277.5,Pass Yards,BAL,32,300.5,https://www.pro-football-reference.com/players/S/StafMa00.htm,https://www.pro-football-reference.com/teams/ram/2021.htm
Derek Carr,LVR,0.65,66.67%,33.33%,66.67%,33.33%,15,N/A,240.5,Pass Yards,IND,16,251.57,https://www.pro-football-reference.com/players/C/CarrDe02.htm,https://www.pro-football-reference.com/teams/rai/2021.htm
Trevor Lawrence,JAX,0.44,66.67%,33.33%,66.67%,33.33%,15,N/A,185.5,Pass Yards,NWE,3,207.5,https://www.pro-football-reference.com/players/L/LawrTr00.htm,https://www.pro-football-reference.com/teams/jax/2021.htm
Mac Jones,NWE,0.26,66.67%,33.33%,66.67%,33.33%,15,N/A,200.5,Pass Yards,JAX,14,246.14,https://www.pro-football-reference.com/players/J/JoneMa05.htm,https://www.pro-football-reference.com/teams/nwe/2021.htm
Matt Ryan,ATL,0.65,73.33%,26.67%,73.33%,26.67%,15,N/A,187.5,Pass Yards,BUF,1,185.5,https://www.pro-football-reference.com/players/R/RyanMa00.htm,https://www.pro-football-reference.com/teams/atl/2021.htm
Josh Allen,BUF,0.29,60.0%,40.0%,60.0%,40.0%,15,N/A,250.5,Pass Yards,ATL,23,261.43,https://www.pro-football-reference.com/players/A/AlleJo02.htm,https://www.pro-football-reference.com/teams/buf/2021.htm
Tua Tagovailoa,MIA,0.28,36.36%,63.64%,36.36%,63.64%,11,N/A,235.5,Pass Yards,TEN,26,264.14,https://www.pro-football-reference.com/players/T/TagoTu00.htm,https://www.pro-football-reference.com/teams/mia/2021.htm
Ryan Tannehill,TEN,0.14,46.67%,53.33%,46.67%,53.33%,15,N/A,212.5,Pass Yards,MIA,15,251.14,https://www.pro-football-reference.com/players/T/TannRy00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Davis Mills,HOU,0.34,45.45%,54.55%,45.45%,54.55%,11,N/A,233.5,Pass Yards,SFO,7,226.64,https://www.pro-football-reference.com/players/M/MillDa02.htm,https://www.pro-football-reference.com/teams/htx/2021.htm
