"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Mike Glennon","NYG","Passing Yards","Over","193.50","100.00","229.53","71 %","41.0","Shop Odds @ OddsShopper"
"Tua Tagovailoa","MIA","Passing Yards","Over","246.50","-110.00","273.36","72 %","37.0","Shop Odds @ OddsShopper"
"Tyler Huntley","BAL","Passing Yards","Under","195.50","-105.00","183.32","63 %","24.0","Shop Odds @ OddsShopper"
"Kyler Murray","ARI","Passing Yards","Over","260.50","-114.00","285.01","65 %","21.0","Shop Odds @ OddsShopper"
"Trevor Lawrence","JAX","Passing Yards","Over","210.50","-110.00","225.15","63 %","21.0","Shop Odds @ OddsShopper"
"Zach Wilson","NYJ","Passing Yards","Over","207.50","-118.00","240.34","63 %","16.0","Shop Odds @ OddsShopper"
"Tom Brady","TB","Passing Yards","Over","295.50","-110.00","304.90","60 %","15.0","Shop Odds @ OddsShopper"
"Aaron Rodgers","GB","Passing Yards","Under","276.50","-114.00","259.88","61 %","14.0","Shop Odds @ OddsShopper"
"Mac Jones","NE","Passing Yards","Over","230.50","-110.00","247.91","59 %","12.0","Shop Odds @ OddsShopper"
"Davis Mills","HOU","Passing Yards","Over","215.50","-115.00","236.86","59 %","10.0","Shop Odds @ OddsShopper"
"Ryan Tannehill","TEN","Passing Yards","Over","212.50","-115.00","223.71","58 %","8.0","Shop Odds @ OddsShopper"
"Jimmy Garoppolo","SF","Passing Yards","Over","243.50","-115.00","251.32","58 %","8.0","Shop Odds @ OddsShopper"
"Carson Wentz","IND","Passing Yards","Over","220.50","-110.00","228.50","56 %","8.0","Shop Odds @ OddsShopper"
"Josh Allen","BUF","Passing Yards","Over","260.50","-115.00","272.49","57 %","6.0","Shop Odds @ OddsShopper"
"Joe Burrow","CIN","Passing Yards","Under","259.50","-114.00","253.52","57 %","6.0","Shop Odds @ OddsShopper"
"Taysom Hill","NO","Passing Yards","Over","204.50","-114.00","220.01","57 %","6.0","Shop Odds @ OddsShopper"
"Patrick Mahomes","KC","Passing Yards","Over","280.50","-110.00","283.69","55 %","6.0","Shop Odds @ OddsShopper"
"Ben Roethlisberger","PIT","Passing Yards","Under","262.50","-114.00","255.57","55 %","4.0","Shop Odds @ OddsShopper"
"Matt Ryan","ATL","Passing Yards","Under","238.50","-114.00","239.16","54 %","2.0","Shop Odds @ OddsShopper"
"Justin Herbert","LAC","Passing Yards","Over","284.50","-110.00","309.76","53 %","2.0","Shop Odds @ OddsShopper"
"Dak Prescott","DAL","Passing Yards","Under","275.50","-110.00","269.58","52 %","-1.0","Shop Odds @ OddsShopper"
"Jared Goff","DET","Passing Yards","Over","207.50","-110.00","218.80","51 %","-2.0","Shop Odds @ OddsShopper"
"Teddy Bridgewater","DEN","Passing Yards","Over","230.50","-118.00","240.30","53 %","-2.0","Shop Odds @ OddsShopper"
"Jared Goff","DET","Passing Yards","Under","211.50","-112.00","218.80","52 %","-3.0","Shop Odds @ OddsShopper"
"Matt Ryan","ATL","Passing Yards","Over","230.50","-115.00","239.16","52 %","-3.0","Shop Odds @ OddsShopper"
"Teddy Bridgewater","DEN","Passing Yards","Under","235.50","-110.00","240.30","51 %","-3.0","Shop Odds @ OddsShopper"
"Taysom Hill","NO","Passing Yards","Under","214.50","-115.00","220.01","52 %","-3.0","Shop Odds @ OddsShopper"
"Patrick Mahomes","KC","Passing Yards","Under","290.50","-115.00","283.69","51 %","-5.0","Shop Odds @ OddsShopper"
"Ben Roethlisberger","PIT","Passing Yards","Over","255.50","-115.00","255.57","50 %","-6.0","Shop Odds @ OddsShopper"
"Joe Burrow","CIN","Passing Yards","Over","250.50","-110.00","253.52","49 %","-6.0","Shop Odds @ OddsShopper"
"Justin Herbert","LAC","Passing Yards","Under","290.50","-115.00","309.76","50 %","-6.0","Shop Odds @ OddsShopper"
"Dak Prescott","DAL","Passing Yards","Over","274.50","-115.00","269.58","49 %","-8.0","Shop Odds @ OddsShopper"
