"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Myles Gaskin","MIA","Receptions","Over","2.50","-115.00","3.93","77 %","44.0","Shop Odds @ OddsShopper"
"Chase Claypool","PIT","Receptions","Under","4.50","-143.00","3.31","76 %","30.0","Shop Odds @ OddsShopper"
"Tommy Tremble","CAR","Receptions","Under","1.50","100.00","1.36","65 %","29.0","Shop Odds @ OddsShopper"
"Brandon Aiyuk","SF","Receptions","Under","4.50","-128.00","3.48","73 %","29.0","Shop Odds @ OddsShopper"
"Mike Gesicki","MIA","Receptions","Over","4.50","130.00","4.90","56 %","28.0","Shop Odds @ OddsShopper"
"DeVante Parker","MIA","Receptions","Over","4.50","-115.00","5.31","65 %","22.0","Shop Odds @ OddsShopper"
"James O'Shaughnessy","JAX","Receptions","Over","2.50","-130.00","3.42","68 %","21.0","Shop Odds @ OddsShopper"
"DJ Moore","CAR","Receptions","Over","4.50","100.00","5.19","60 %","20.0","Shop Odds @ OddsShopper"
"Marvin Jones Jr.","JAX","Receptions","Over","3.50","-125.00","4.28","66 %","19.0","Shop Odds @ OddsShopper"
"Tim Patrick","DEN","Receptions","Under","3.50","-149.00","2.77","71 %","19.0","Shop Odds @ OddsShopper"
"T.Y. Hilton","IND","Receptions","Over","2.50","100.00","3.02","59 %","19.0","Shop Odds @ OddsShopper"
"Amari Cooper","DAL","Receptions","Over","4.50","140.00","4.62","49 %","18.0","Shop Odds @ OddsShopper"
"Sterling Shepard","NYG","Receptions","Over","3.50","-161.00","5.06","73 %","18.0","Shop Odds @ OddsShopper"
"Clyde Edwards-Helaire","KC","Receptions","Under","2.50","-156.00","1.86","72 %","18.0","Shop Odds @ OddsShopper"
"Jakobi Meyers","NE","Receptions","Over","3.50","-155.00","4.93","72 %","18.0","Shop Odds @ OddsShopper"
"Nick Westbrook-Ikhine","TEN","Receptions","Over","3.50","155.00","3.48","46 %","16.0","Shop Odds @ OddsShopper"
"Dawson Knox","BUF","Receptions","Under","3.50","110.00","3.35","55 %","16.0","Shop Odds @ OddsShopper"
"Deebo Samuel","SF","Receptions","Over","3.50","-149.00","4.67","70 %","16.0","Shop Odds @ OddsShopper"
"Donald Parham Jr.","LAC","Receptions","Under","1.50","-141.00","1.33","67 %","15.0","Shop Odds @ OddsShopper"
"Jalen Guyton","LAC","Receptions","Under","2.50","-325.00","1.37","87 %","14.0","Shop Odds @ OddsShopper"
"James Robinson","JAX","Receptions","Over","2.50","-130.00","3.29","64 %","13.0","Shop Odds @ OddsShopper"
"Robby Anderson","CAR","Receptions","Over","2.50","-125.00","3.30","63 %","13.0","Shop Odds @ OddsShopper"
"Braxton Berrios","NYJ","Receptions","Under","3.50","-149.00","3.02","68 %","13.0","Shop Odds @ OddsShopper"
"Cordarrelle Patterson","ATL","Receptions","Over","3.50","130.00","3.65","49 %","13.0","Shop Odds @ OddsShopper"
"Michael Gallup","DAL","Receptions","Under","4.50","-141.00","3.83","65 %","12.0","Shop Odds @ OddsShopper"
"Ja'Marr Chase","CIN","Receptions","Under","4.50","114.00","4.61","52 %","12.0","Shop Odds @ OddsShopper"
"Travis Kelce","KC","Receptions","Under","6.50","-150.00","5.47","67 %","12.0","Shop Odds @ OddsShopper"
"Nico Collins","HOU","Receptions","Under","3.50","-200.00","2.68","74 %","11.0","Shop Odds @ OddsShopper"
"Chris Conley","HOU","Receptions","Under","2.50","-300.00","1.51","83 %","11.0","Shop Odds @ OddsShopper"
"Jamison Crowder","NYJ","Receptions","Over","4.50","130.00","4.83","48 %","11.0","Shop Odds @ OddsShopper"
"Dalton Schultz","DAL","Receptions","Over","3.50","-113.00","4.01","59 %","10.0","Shop Odds @ OddsShopper"
