"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Deebo Samuel","SF","Receiving Yards","Over","39.50","-105.00","68.41","78 %","52.0","Shop Odds @ OddsShopper"
"Myles Gaskin","MIA","Receiving Yards","Over","14.50","-110.00","27.62","75 %","44.0","Shop Odds @ OddsShopper"
"DJ Moore","CAR","Receiving Yards","Over","48.50","-114.00","75.75","76 %","42.0","Shop Odds @ OddsShopper"
"Brock Wright","DET","Receiving Yards","Under","20.50","-106.00","16.98","71 %","38.0","Shop Odds @ OddsShopper"
"Adam Trautman","NO","Receiving Yards","Under","27.50","-110.00","21.37","71 %","35.0","Shop Odds @ OddsShopper"
"Courtland Sutton","DEN","Receiving Yards","Over","28.50","-115.00","47.31","72 %","34.0","Shop Odds @ OddsShopper"
"Michael Carter","NYJ","Receiving Yards","Over","18.50","-111.00","32.40","69 %","32.0","Shop Odds @ OddsShopper"
"Mark Andrews","BAL","Receiving Yards","Under","52.50","-110.00","46.56","67 %","28.0","Shop Odds @ OddsShopper"
"Chase Claypool","PIT","Receiving Yards","Under","55.50","-110.00","47.34","67 %","27.0","Shop Odds @ OddsShopper"
"Albert Wilson","MIA","Receiving Yards","Over","25.50","-130.00","39.98","71 %","26.0","Shop Odds @ OddsShopper"
"Jack Doyle","IND","Receiving Yards","Under","23.50","-115.00","20.38","67 %","26.0","Shop Odds @ OddsShopper"
"Brandon Bolden","NE","Receiving Yards","Under","31.50","-115.00","26.57","67 %","26.0","Shop Odds @ OddsShopper"
"Mecole Hardman","KC","Receiving Yards","Over","20.50","-105.00","30.55","64 %","25.0","Shop Odds @ OddsShopper"
"Tommy Tremble","CAR","Receiving Yards","Under","14.50","-115.00","13.44","67 %","24.0","Shop Odds @ OddsShopper"
"Jauan Jennings","SF","Receiving Yards","Over","15.50","-115.00","25.51","66 %","24.0","Shop Odds @ OddsShopper"
"DeVante Parker","MIA","Receiving Yards","Over","55.50","-125.00","70.71","68 %","23.0","Shop Odds @ OddsShopper"
"Jakobi Meyers","NE","Receiving Yards","Over","44.50","-110.00","59.17","65 %","23.0","Shop Odds @ OddsShopper"
"Sterling Shepard","NYG","Receiving Yards","Over","42.50","-112.00","55.70","64 %","22.0","Shop Odds @ OddsShopper"
"Chuba Hubbard","CAR","Receiving Yards","Under","10.50","-115.00","10.41","65 %","22.0","Shop Odds @ OddsShopper"
"Nelson Agholor","NE","Receiving Yards","Over","27.50","-110.00","40.17","64 %","22.0","Shop Odds @ OddsShopper"
"T.Y. Hilton","IND","Receiving Yards","Over","28.50","-105.00","39.09","63 %","22.0","Shop Odds @ OddsShopper"
"Jalen Guyton","LAC","Receiving Yards","Under","25.50","-125.00","21.19","67 %","20.0","Shop Odds @ OddsShopper"
"Darius Slayton","NYG","Receiving Yards","Over","22.50","-110.00","34.08","62 %","19.0","Shop Odds @ OddsShopper"
"Jamison Crowder","NYJ","Receiving Yards","Over","40.50","-115.00","54.35","64 %","19.0","Shop Odds @ OddsShopper"
"Brandon Aiyuk","SF","Receiving Yards","Under","55.50","-130.00","44.87","68 %","19.0","Shop Odds @ OddsShopper"
"James Robinson","JAX","Receiving Yards","Over","15.50","-125.00","23.40","66 %","18.0","Shop Odds @ OddsShopper"
"Ezekiel Elliott","DAL","Receiving Yards","Under","21.50","-122.00","19.00","65 %","18.0","Shop Odds @ OddsShopper"
"Devin Singletary","BUF","Receiving Yards","Under","18.50","-115.00","16.45","63 %","18.0","Shop Odds @ OddsShopper"
"Byron Pringle","KC","Receiving Yards","Over","25.50","-115.00","36.56","63 %","17.0","Shop Odds @ OddsShopper"
"Zach Pascal","IND","Receiving Yards","Over","23.50","-110.00","33.81","61 %","17.0","Shop Odds @ OddsShopper"
"Rhamondre Stevenson","NE","Receiving Yards","Under","15.50","-130.00","14.65","66 %","17.0","Shop Odds @ OddsShopper"
"Marvin Jones Jr.","JAX","Receiving Yards","Over","44.50","-115.00","53.27","62 %","16.0","Shop Odds @ OddsShopper"
"Cole Beasley","BUF","Receiving Yards","Over","45.50","-110.00","55.53","61 %","16.0","Shop Odds @ OddsShopper"
"Gabriel Davis","BUF","Receiving Yards","Over","40.50","-115.00","52.36","62 %","16.0","Shop Odds @ OddsShopper"
"Rashod Bateman","BAL","Receiving Yards","Under","36.50","-110.00","35.51","61 %","16.0","Shop Odds @ OddsShopper"
"Mike Gesicki","MIA","Receiving Yards","Over","44.50","-115.00","55.56","62 %","15.0","Shop Odds @ OddsShopper"
"Travis Kelce","KC","Receiving Yards","Under","70.50","100.00","66.34","58 %","15.0","Shop Odds @ OddsShopper"
"Diontae Johnson","PIT","Receiving Yards","Under","81.50","-115.00","75.58","61 %","14.0","Shop Odds @ OddsShopper"
"James O'Shaughnessy","JAX","Receiving Yards","Over","25.50","-115.00","32.91","61 %","14.0","Shop Odds @ OddsShopper"
"Mike Williams","LAC","Receiving Yards","Over","54.50","-110.00","73.12","60 %","14.0","Shop Odds @ OddsShopper"
"Austin Ekeler","LAC","Receiving Yards","Under","35.50","-111.00","35.29","60 %","14.0","Shop Odds @ OddsShopper"
"Robby Anderson","CAR","Receiving Yards","Over","30.50","-110.00","39.61","59 %","13.0","Shop Odds @ OddsShopper"
"Clyde Edwards-Helaire","KC","Receiving Yards","Under","13.50","-110.00","13.74","59 %","13.0","Shop Odds @ OddsShopper"
"Jared Cook","LAC","Receiving Yards","Over","25.50","-125.00","36.55","63 %","13.0","Shop Odds @ OddsShopper"
"Nyheim Hines","IND","Receiving Yards","Under","17.50","-116.00","17.87","61 %","13.0","Shop Odds @ OddsShopper"
"Nick Westbrook-Ikhine","TEN","Receiving Yards","Over","34.50","-110.00","43.47","59 %","12.0","Shop Odds @ OddsShopper"
"Laviska Shenault Jr.","JAX","Receiving Yards","Over","35.50","-110.00","44.24","59 %","12.0","Shop Odds @ OddsShopper"
"Russell Gage","ATL","Receiving Yards","Under","57.50","-116.00","54.97","60 %","12.0","Shop Odds @ OddsShopper"
"Christian Kirk","ARI","Receiving Yards","Over","54.50","-110.00","64.73","58 %","11.0","Shop Odds @ OddsShopper"
"Amon-Ra St. Brown","DET","Receiving Yards","Over","49.50","-110.00","59.64","58 %","11.0","Shop Odds @ OddsShopper"
"Amari Cooper","DAL","Receiving Yards","Over","50.50","-114.00","59.84","59 %","11.0","Shop Odds @ OddsShopper"
"Michael Pittman Jr.","IND","Receiving Yards","Over","54.50","-110.00","64.23","58 %","10.0","Shop Odds @ OddsShopper"
"Rondale Moore","ARI","Receiving Yards","Over","30.50","-125.00","39.85","61 %","9.0","Shop Odds @ OddsShopper"
"Braxton Berrios","NYJ","Receiving Yards","Under","34.50","-115.00","34.72","58 %","9.0","Shop Odds @ OddsShopper"
"Darrel Williams","KC","Receiving Yards","Over","15.50","-125.00","21.64","61 %","9.0","Shop Odds @ OddsShopper"
"Keenan Allen","LAC","Receiving Yards","Under","77.50","-112.00","79.39","58 %","9.0","Shop Odds @ OddsShopper"
"C.J. Uzomah","CIN","Receiving Yards","Under","29.50","-118.00","28.60","59 %","8.0","Shop Odds @ OddsShopper"
"Jerry Jeudy","DEN","Receiving Yards","Under","55.50","-115.00","53.20","58 %","8.0","Shop Odds @ OddsShopper"
