"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Cordarrelle Patterson","ATL","Rushing Yards","Under","52.50","-115.00","47.68","75 %","39.0","Shop Odds @ OddsShopper"
"Clyde Edwards-Helaire","KC","Rushing Yards","Under","60.50","-125.00","57.39","77 %","38.0","Shop Odds @ OddsShopper"
"Myles Gaskin","MIA","Rushing Yards","Under","60.50","-125.00","59.70","73 %","32.0","Shop Odds @ OddsShopper"
"Devin Singletary","BUF","Rushing Yards","Under","50.50","-115.00","55.15","70 %","30.0","Shop Odds @ OddsShopper"
"Austin Ekeler","LAC","Rushing Yards","Under","47.50","-110.00","41.88","68 %","30.0","Shop Odds @ OddsShopper"
"AJ Dillon","GB","Rushing Yards","Under","60.50","-115.00","58.21","68 %","28.0","Shop Odds @ OddsShopper"
"Alvin Kamara","NO","Rushing Yards","Under","55.50","-125.00","52.83","71 %","27.0","Shop Odds @ OddsShopper"
"Michael Carter","NYJ","Rushing Yards","Under","50.50","-125.00","47.16","69 %","24.0","Shop Odds @ OddsShopper"
"Deebo Samuel","SF","Rushing Yards","Under","38.50","-115.00","40.57","64 %","20.0","Shop Odds @ OddsShopper"
"Ryan Tannehill","TEN","Rushing Yards","Over","13.50","-110.00","19.74","62 %","18.0","Shop Odds @ OddsShopper"
"James Conner","ARI","Rushing Yards","Under","55.50","-110.00","65.47","61 %","16.0","Shop Odds @ OddsShopper"
"Rhamondre Stevenson","NE","Rushing Yards","Under","73.50","-111.00","75.17","61 %","16.0","Shop Odds @ OddsShopper"
"Jonathan Taylor","IND","Rushing Yards","Under","95.50","-115.00","100.71","61 %","14.0","Shop Odds @ OddsShopper"
"Darrel Williams","KC","Rushing Yards","Over","14.50","-110.00","24.00","58 %","11.0","Shop Odds @ OddsShopper"
"Najee Harris","PIT","Rushing Yards","Under","71.50","-114.00","77.56","59 %","10.0","Shop Odds @ OddsShopper"
"Leonard Fournette","TB","Rushing Yards","Under","62.50","-110.00","72.54","57 %","9.0","Shop Odds @ OddsShopper"
"Saquon Barkley","NYG","Rushing Yards","Over","52.50","-110.00","62.10","57 %","8.0","Shop Odds @ OddsShopper"
"Aaron Jones","GB","Rushing Yards","Over","37.50","-111.00","47.73","54 %","2.0","Shop Odds @ OddsShopper"
"James Robinson","JAX","Rushing Yards","Under","83.50","-114.00","96.28","54 %","1.0","Shop Odds @ OddsShopper"
"Chuba Hubbard","CAR","Rushing Yards","Under","45.50","-115.00","48.09","54 %","1.0","Shop Odds @ OddsShopper"
"Ezekiel Elliott","DAL","Rushing Yards","Over","54.50","-118.00","72.59","54 %","0.0","Shop Odds @ OddsShopper"
"Jeff Wilson Jr.","SF","Rushing Yards","Under","64.50","-115.00","75.89","53 %","0.0","Shop Odds @ OddsShopper"
"Joe Mixon","CIN","Rushing Yards","Over","68.50","-115.00","78.53","53 %","-1.0","Shop Odds @ OddsShopper"
"Joe Mixon","CIN","Rushing Yards","Under","70.50","-110.00","78.53","51 %","-2.0","Shop Odds @ OddsShopper"
"James Robinson","JAX","Rushing Yards","Over","80.50","-110.00","96.28","51 %","-3.0","Shop Odds @ OddsShopper"
"Najee Harris","PIT","Rushing Yards","Over","65.50","-125.00","77.56","53 %","-5.0","Shop Odds @ OddsShopper"
"Darrel Williams","KC","Rushing Yards","Under","16.50","-110.00","24.00","50 %","-5.0","Shop Odds @ OddsShopper"
"Chuba Hubbard","CAR","Rushing Yards","Over","43.50","-114.00","48.09","50 %","-6.0","Shop Odds @ OddsShopper"
"Jeff Wilson Jr.","SF","Rushing Yards","Over","64.50","-105.00","75.89","47 %","-9.0","Shop Odds @ OddsShopper"
"Ezekiel Elliott","DAL","Rushing Yards","Under","55.50","-115.00","72.59","48 %","-11.0","Shop Odds @ OddsShopper"
"Saquon Barkley","NYG","Rushing Yards","Under","55.50","-130.00","62.10","50 %","-11.0","Shop Odds @ OddsShopper"
"Aaron Jones","GB","Rushing Yards","Under","37.50","-115.00","47.73","46 %","-14.0","Shop Odds @ OddsShopper"
"Rhamondre Stevenson","NE","Rushing Yards","Over","70.50","-114.00","75.17","45 %","-15.0","Shop Odds @ OddsShopper"
"Leonard Fournette","TB","Rushing Yards","Over","62.50","-110.00","72.54","43 %","-18.0","Shop Odds @ OddsShopper"
"Ryan Tannehill","TEN","Rushing Yards","Under","15.50","-135.00","19.74","47 %","-19.0","Shop Odds @ OddsShopper"
"Jonathan Taylor","IND","Rushing Yards","Over","92.50","-114.00","100.71","43 %","-19.0","Shop Odds @ OddsShopper"
"James Conner","ARI","Rushing Yards","Over","55.50","-105.00","65.47","39 %","-24.0","Shop Odds @ OddsShopper"
"Deebo Samuel","SF","Rushing Yards","Over","36.50","-112.00","40.57","40 %","-24.0","Shop Odds @ OddsShopper"
"AJ Dillon","GB","Rushing Yards","Over","55.50","-115.00","58.21","40 %","-26.0","Shop Odds @ OddsShopper"
"Austin Ekeler","LAC","Rushing Yards","Over","45.50","-115.00","41.88","36 %","-33.0","Shop Odds @ OddsShopper"
"Myles Gaskin","MIA","Rushing Yards","Over","54.50","-115.00","59.70","35 %","-34.0","Shop Odds @ OddsShopper"
"Michael Carter","NYJ","Rushing Yards","Over","48.50","-110.00","47.16","35 %","-34.0","Shop Odds @ OddsShopper"
"Alvin Kamara","NO","Rushing Yards","Over","52.50","-115.00","52.83","35 %","-34.0","Shop Odds @ OddsShopper"
"Cordarrelle Patterson","ATL","Rushing Yards","Over","48.50","-110.00","47.68","33 %","-38.0","Shop Odds @ OddsShopper"
"Devin Singletary","BUF","Rushing Yards","Over","50.50","-115.00","55.15","30 %","-44.0","Shop Odds @ OddsShopper"
"Clyde Edwards-Helaire","KC","Rushing Yards","Over","57.50","-110.00","57.39","27 %","-48.0","Shop Odds @ OddsShopper"
