Name, Team, Over Percentage, Under Percentage, Games, Over Hits, Under Hits, Line
Mike Glennon, NYG,33.33%, 66.67%, 3, 1, 2, 193.5
Tua Tagovailoa, MIA,33.33%, 66.67%, 9, 3, 6, 246.5
Tyler Huntley, BAL,50.0%, 50.0%, 4, 2, 2, 195.5
Kyler Murray, ARI,70.0%, 30.0%, 10, 7, 3, 260.5
Trevor Lawrence, JAX,53.85%, 46.15%, 13, 7, 6, 210.5
Zach Wilson, NYJ,44.44%, 55.56%, 9, 4, 5, 207.5
Tom Brady, TB,61.54%, 38.46%, 13, 8, 5, 295.5
Aaron Rodgers, GB,41.67%, 58.33%, 12, 5, 7, 276.5
Mac Jones, NE,50.0%, 50.0%, 14, 7, 7, 230.5
Davis Mills, HOU,44.44%, 55.56%, 9, 4, 5, 215.5
Ryan Tannehill, TEN,53.85%, 46.15%, 13, 7, 6, 212.5
Jimmy Garoppolo, SF,50.0%, 50.0%, 12, 6, 6, 243.5
Carson Wentz, IND,57.14%, 42.86%, 14, 8, 6, 220.5
Josh Allen, BUF,53.85%, 46.15%, 13, 7, 6, 260.5
Joe Burrow, CIN,61.54%, 38.46%, 13, 8, 5, 259.5
Taysom Hill, NO,11.11%, 88.89%, 9, 1, 8, 204.5
Patrick Mahomes, KC,35.71%, 64.29%, 14, 5, 9, 280.5
Ben Roethlisberger, PIT,50.0%, 50.0%, 12, 6, 6, 262.5
Matt Ryan, ATL,53.85%, 46.15%, 13, 7, 6, 238.5
Justin Herbert, LAC,50.0%, 50.0%, 14, 7, 7, 284.5
Dak Prescott, DAL,41.67%, 58.33%, 12, 5, 7, 275.5
Jared Goff, DET,66.67%, 33.33%, 12, 8, 4, 207.5
Teddy Bridgewater, DEN,53.85%, 46.15%, 13, 7, 6, 230.5
Jared Goff, DET,66.67%, 33.33%, 12, 8, 4, 211.5
Matt Ryan, ATL,53.85%, 46.15%, 13, 7, 6, 230.5
Teddy Bridgewater, DEN,46.15%, 53.85%, 13, 6, 7, 235.5
Taysom Hill, NO,11.11%, 88.89%, 9, 1, 8, 214.5
Patrick Mahomes, KC,35.71%, 64.29%, 14, 5, 9, 290.5
Ben Roethlisberger, PIT,50.0%, 50.0%, 12, 6, 6, 255.5
Joe Burrow, CIN,69.23%, 30.77%, 13, 9, 4, 250.5
Justin Herbert, LAC,50.0%, 50.0%, 14, 7, 7, 290.5
Dak Prescott, DAL,41.67%, 58.33%, 12, 5, 7, 274.5
Davis Mills, HOU,44.44%, 55.56%, 9, 4, 5, 223.5
Mac Jones, NE,42.86%, 57.14%, 14, 6, 8, 238.5
Aaron Rodgers, GB,50.0%, 50.0%, 12, 6, 6, 265.5
Carson Wentz, IND,57.14%, 42.86%, 14, 8, 6, 222.5
Josh Allen, BUF,53.85%, 46.15%, 13, 7, 6, 262.5
Jimmy Garoppolo, SF,50.0%, 50.0%, 12, 6, 6, 248.5
Tom Brady, TB,53.85%, 46.15%, 13, 7, 6, 300.5
Ryan Tannehill, TEN,38.46%, 61.54%, 13, 5, 8, 216.5
Zach Wilson, NYJ,33.33%, 66.67%, 9, 3, 6, 212.5
Trevor Lawrence, JAX,53.85%, 46.15%, 13, 7, 6, 214.5
Kyler Murray, ARI,60.0%, 40.0%, 10, 6, 4, 265.5
Tua Tagovailoa, MIA,33.33%, 66.67%, 9, 3, 6, 259.5
Tyler Huntley, BAL,50.0%, 50.0%, 4, 2, 2, 195.5
Mike Glennon, NYG,0.0%, 100.0%, 3, 0, 3, 196.5

