Name, Team, Over Percentage, Under Percentage, Games, Over Hits, Under Hits, Line
Myles Gaskin, MIA,61.54%, 38.46%, 13, 8, 5, 2.5
Chase Claypool, PIT,36.36%, 63.64%, 11, 4, 7, 4.5
Tommy Tremble, CAR,38.46%, 61.54%, 13, 5, 8, 1.5
Brandon Aiyuk, SF,23.08%, 76.92%, 13, 3, 10, 4.5
Mike Gesicki, MIA,46.15%, 53.85%, 13, 6, 7, 4.5
DeVante Parker, MIA,50.0%, 50.0%, 6, 3, 3, 4.5
James O'Shaughnessy, JAX,60.0%, 40.0%, 5, 3, 2, 2.5
Tim Patrick, DEN,30.77%, 69.23%, 13, 4, 9, 3.5
T.Y. Hilton, IND,28.57%, 71.43%, 7, 2, 5, 2.5
Amari Cooper, DAL,36.36%, 63.64%, 11, 4, 7, 4.5
Sterling Shepard, NYG,66.67%, 33.33%, 6, 4, 2, 3.5
Clyde Edwards-Helaire, KC,33.33%, 66.67%, 9, 3, 6, 2.5
Jakobi Meyers, NE,85.71%, 14.29%, 14, 12, 2, 3.5
Nick Westbrook-Ikhine, TEN,16.67%, 83.33%, 12, 2, 10, 3.5
Dawson Knox, BUF,45.45%, 54.55%, 11, 5, 6, 3.5
Deebo Samuel, SF,66.67%, 33.33%, 12, 8, 4, 3.5
Jalen Guyton, LAC,21.43%, 78.57%, 14, 3, 11, 2.5
James Robinson, JAX,50.0%, 50.0%, 12, 6, 6, 2.5
Robby Anderson, CAR,53.85%, 46.15%, 13, 7, 6, 2.5
Braxton Berrios, NYJ,23.08%, 76.92%, 13, 3, 10, 3.5
Cordarrelle Patterson, ATL,50.0%, 50.0%, 12, 6, 6, 3.5
Michael Gallup, DAL,66.67%, 33.33%, 6, 4, 2, 4.5
Ja'Marr Chase, CIN,53.85%, 46.15%, 13, 7, 6, 4.5
Travis Kelce, KC,42.86%, 57.14%, 14, 6, 8, 6.5
Nico Collins, HOU,30.0%, 70.0%, 10, 3, 7, 3.5
Chris Conley, HOU,15.38%, 84.62%, 13, 2, 11, 2.5
Jamison Crowder, NYJ,40.0%, 60.0%, 10, 4, 6, 4.5
Dalton Schultz, DAL,61.54%, 38.46%, 13, 8, 5, 3.5
Robby Anderson, CAR,30.77%, 69.23%, 13, 4, 9, 3.5
Tee Higgins, CIN,45.45%, 54.55%, 11, 5, 6, 5.5
Jared Cook, LAC,57.14%, 42.86%, 14, 8, 6, 2.5
Nelson Agholor, NE,57.14%, 42.86%, 14, 8, 6, 2.5
Christian Kirk, ARI,46.15%, 53.85%, 13, 6, 7, 4.5
CeeDee Lamb, DAL,58.33%, 41.67%, 12, 7, 5, 5.5
Devin Singletary, BUF,38.46%, 61.54%, 13, 5, 8, 2.5
Kenny Golladay, NYG,60.0%, 40.0%, 10, 6, 4, 2.5
Stefon Diggs, BUF,46.15%, 53.85%, 13, 6, 7, 6.5
Kyle Pitts, ATL,30.77%, 69.23%, 13, 4, 9, 4.5
Hunter Henry, NE,42.86%, 57.14%, 14, 6, 8, 2.5
Albert Wilson, MIA,33.33%, 66.67%, 12, 4, 8, 3.5
Marquez Valdes-Scantling, GB,25.0%, 75.0%, 8, 2, 6, 3.5
Chris Godwin, TB,38.46%, 61.54%, 13, 5, 8, 7.5
Byron Pringle, KC,28.57%, 71.43%, 14, 4, 10, 2.5
Mecole Hardman, KC,57.14%, 42.86%, 14, 8, 6, 2.5
Austin Ekeler, LAC,50.0%, 50.0%, 14, 7, 7, 4.5
Kendrick Bourne, NE,50.0%, 50.0%, 14, 7, 7, 3.5
Julio Jones, TEN,14.29%, 85.71%, 7, 1, 6, 4.5
Diontae Johnson, PIT,41.67%, 58.33%, 12, 5, 7, 7.5
Mike Williams, LAC,50.0%, 50.0%, 14, 7, 7, 4.5
Najee Harris, PIT,53.85%, 46.15%, 13, 7, 6, 3.5
Cole Beasley, BUF,53.85%, 46.15%, 13, 7, 6, 4.5
Russell Gage, ATL,30.0%, 70.0%, 10, 3, 7, 5.5
Rob Gronkowski, TB,50.0%, 50.0%, 8, 4, 4, 4.5
Darrel Williams, KC,57.14%, 42.86%, 14, 8, 6, 2.5
Brandon Bolden, NE,28.57%, 71.43%, 14, 4, 10, 3.5
Tre'Quan Smith, NO,33.33%, 66.67%, 9, 3, 6, 3.5
Mike Evans, TB,61.54%, 38.46%, 13, 8, 5, 4.5
Keenan Allen, LAC,53.85%, 46.15%, 13, 7, 6, 6.5
Zach Pascal, IND,50.0%, 50.0%, 14, 7, 7, 2.5
Saquon Barkley, NYG,55.56%, 44.44%, 9, 5, 4, 3.5
Marquez Callaway, NO,38.46%, 61.54%, 13, 5, 8, 2.5
Tyreek Hill, KC,57.14%, 42.86%, 14, 8, 6, 6.5
Geoff Swaim, TEN,41.67%, 58.33%, 12, 5, 7, 2.5
George Kittle, SF,40.0%, 60.0%, 10, 4, 6, 5.5
Jerry Jeudy, DEN,57.14%, 42.86%, 7, 4, 3, 4.5
Demarcus Robinson, KC,35.71%, 64.29%, 14, 5, 9, 1.5
Jonathan Taylor, IND,21.43%, 78.57%, 14, 3, 11, 3.5
Laquon Treadwell, JAX,37.5%, 62.5%, 8, 3, 5, 3.5
Brandin Cooks, HOU,69.23%, 30.77%, 13, 9, 4, 4.5
Kendrick Bourne, NE,71.43%, 28.57%, 14, 10, 4, 2.5
Geoff Swaim, TEN,41.67%, 58.33%, 12, 5, 7, 2.5
Gabriel Davis, BUF,15.38%, 84.62%, 13, 2, 11, 3.5
Noah Fant, DEN,66.67%, 33.33%, 12, 8, 4, 3.5
Alvin Kamara, NO,22.22%, 77.78%, 9, 2, 7, 4.5
Cole Beasley, BUF,46.15%, 53.85%, 13, 6, 7, 5.5
Stefon Diggs, BUF,61.54%, 38.46%, 13, 8, 5, 5.5
A.J. Green, ARI,50.0%, 50.0%, 12, 6, 6, 3.5
Ezekiel Elliott, DAL,53.85%, 46.15%, 13, 7, 6, 2.5
Noah Fant, DEN,66.67%, 33.33%, 12, 8, 4, 3.5
Najee Harris, PIT,46.15%, 53.85%, 13, 6, 7, 4.5
Tre'Quan Smith, NO,66.67%, 33.33%, 9, 6, 3, 2.5
Alvin Kamara, NO,22.22%, 77.78%, 9, 2, 7, 4.5
Tyreek Hill, KC,57.14%, 42.86%, 14, 8, 6, 6.5
Mecole Hardman, KC,57.14%, 42.86%, 14, 8, 6, 2.5
Tyler Boyd, CIN,69.23%, 30.77%, 13, 9, 4, 3.5
Brandon Bolden, NE,28.57%, 71.43%, 14, 4, 10, 3.5
Ezekiel Elliott, DAL,53.85%, 46.15%, 13, 7, 6, 2.5
George Kittle, SF,40.0%, 60.0%, 10, 4, 6, 5.5
Tyler Boyd, CIN,38.46%, 61.54%, 13, 5, 8, 4.5
Marquez Callaway, NO,15.38%, 84.62%, 13, 2, 11, 3.5
Keenan Allen, LAC,53.85%, 46.15%, 13, 7, 6, 6.5
Mike Williams, LAC,50.0%, 50.0%, 14, 7, 7, 4.5
Christian Kirk, ARI,46.15%, 53.85%, 13, 6, 7, 4.5
Laquon Treadwell, JAX,37.5%, 62.5%, 8, 3, 5, 2.5
Mike Evans, TB,53.85%, 46.15%, 13, 7, 6, 5.5
Byron Pringle, KC,28.57%, 71.43%, 14, 4, 10, 2.5
Saquon Barkley, NYG,55.56%, 44.44%, 9, 5, 4, 3.5
Gabriel Davis, BUF,15.38%, 84.62%, 13, 2, 11, 3.5
Jerry Jeudy, DEN,57.14%, 42.86%, 7, 4, 3, 4.5
A.J. Green, ARI,50.0%, 50.0%, 12, 6, 6, 3.5
Russell Gage, ATL,50.0%, 50.0%, 10, 5, 5, 4.5
Kyle Pitts, ATL,61.54%, 38.46%, 13, 8, 5, 3.5
Rob Gronkowski, TB,37.5%, 62.5%, 8, 3, 5, 5.5
Darrel Williams, KC,57.14%, 42.86%, 14, 8, 6, 2.5
Jonathan Taylor, IND,57.14%, 42.86%, 14, 8, 6, 2.5
Brandin Cooks, HOU,46.15%, 53.85%, 13, 6, 7, 5.5
Ja'Marr Chase, CIN,53.85%, 46.15%, 13, 7, 6, 4.5
Zach Pascal, IND,50.0%, 50.0%, 14, 7, 7, 2.5
Albert Wilson, MIA,33.33%, 66.67%, 12, 4, 8, 3.5
Kenny Golladay, NYG,60.0%, 40.0%, 10, 6, 4, 2.5
DeVante Parker, MIA,16.67%, 83.33%, 6, 1, 5, 5.5
Cordarrelle Patterson, ATL,50.0%, 50.0%, 12, 6, 6, 3.5
Demarcus Robinson, KC,35.71%, 64.29%, 14, 5, 9, 1.5
Nick Westbrook-Ikhine, TEN,16.67%, 83.33%, 12, 2, 10, 3.5
James Robinson, JAX,16.67%, 83.33%, 12, 2, 10, 3.5
Dalton Schultz, DAL,61.54%, 38.46%, 13, 8, 5, 3.5
Amari Cooper, DAL,36.36%, 63.64%, 11, 4, 7, 4.5
Hunter Henry, NE,42.86%, 57.14%, 14, 6, 8, 2.5
Julio Jones, TEN,14.29%, 85.71%, 7, 1, 6, 4.5
Nico Collins, HOU,40.0%, 60.0%, 10, 4, 6, 2.5
Devin Singletary, BUF,38.46%, 61.54%, 13, 5, 8, 2.5
Dawson Knox, BUF,45.45%, 54.55%, 11, 5, 6, 3.5
Jamison Crowder, NYJ,40.0%, 60.0%, 10, 4, 6, 4.5
Tee Higgins, CIN,63.64%, 36.36%, 11, 7, 4, 4.5
Travis Kelce, KC,57.14%, 42.86%, 14, 8, 6, 5.5
Nelson Agholor, NE,57.14%, 42.86%, 14, 8, 6, 2.5
Braxton Berrios, NYJ,23.08%, 76.92%, 13, 3, 10, 3.5
Chris Godwin, TB,38.46%, 61.54%, 13, 5, 8, 7.5
Austin Ekeler, LAC,50.0%, 50.0%, 14, 7, 7, 4.5
CeeDee Lamb, DAL,58.33%, 41.67%, 12, 7, 5, 5.5
Marquez Valdes-Scantling, GB,62.5%, 37.5%, 8, 5, 3, 2.5
Jared Cook, LAC,57.14%, 42.86%, 14, 8, 6, 2.5
Michael Gallup, DAL,66.67%, 33.33%, 6, 4, 2, 4.5
Deebo Samuel, SF,66.67%, 33.33%, 12, 8, 4, 4.5
James O'Shaughnessy, JAX,40.0%, 60.0%, 5, 2, 3, 3.5
T.Y. Hilton, IND,28.57%, 71.43%, 7, 2, 5, 2.5
Mike Gesicki, MIA,46.15%, 53.85%, 13, 6, 7, 4.5
Jakobi Meyers, NE,50.0%, 50.0%, 14, 7, 7, 4.5
Chris Conley, HOU,38.46%, 61.54%, 13, 5, 8, 1.5
Diontae Johnson, PIT,58.33%, 41.67%, 12, 7, 5, 6.5
Tim Patrick, DEN,30.77%, 69.23%, 13, 4, 9, 3.5
Clyde Edwards-Helaire, KC,33.33%, 66.67%, 9, 3, 6, 2.5
Tommy Tremble, CAR,38.46%, 61.54%, 13, 5, 8, 1.5
Sterling Shepard, NYG,66.67%, 33.33%, 6, 4, 2, 3.5
Jalen Guyton, LAC,50.0%, 50.0%, 14, 7, 7, 1.5
Brandon Aiyuk, SF,23.08%, 76.92%, 13, 3, 10, 4.5
Chase Claypool, PIT,36.36%, 63.64%, 11, 4, 7, 4.5
Myles Gaskin, MIA,61.54%, 38.46%, 13, 8, 5, 2.5

