Name, Team, Over Percentage, Under Percentage, Games, Over Hits, Under Hits, Line
Cordarrelle Patterson, ATL,50.0%, 50.0%, 12, 6, 6, 52.5
Clyde Edwards-Helaire, KC,33.33%, 66.67%, 9, 3, 6, 60.5
Myles Gaskin, MIA,23.08%, 76.92%, 13, 3, 10, 60.5
Devin Singletary, BUF,30.77%, 69.23%, 13, 4, 9, 50.5
Austin Ekeler, LAC,78.57%, 21.43%, 14, 11, 3, 47.5
AJ Dillon , GB,38.46%, 61.54%, 13, 5, 8, 60.5
Alvin Kamara, NO,66.67%, 33.33%, 9, 6, 3, 55.5
Michael Carter, NYJ,30.0%, 70.0%, 10, 3, 7, 50.5
Deebo Samuel, SF,16.67%, 83.33%, 12, 2, 10, 38.5
Ryan Tannehill, TEN,53.85%, 46.15%, 13, 7, 6, 13.5
James Conner, ARI,38.46%, 61.54%, 13, 5, 8, 55.5
Rhamondre Stevenson, NE,20.0%, 80.0%, 10, 2, 8, 73.5
Jonathan Taylor, IND,57.14%, 42.86%, 14, 8, 6, 95.5
Darrel Williams, KC,71.43%, 28.57%, 14, 10, 4, 14.5
Najee Harris, PIT,38.46%, 61.54%, 13, 5, 8, 71.5
Leonard Fournette, TB,46.15%, 53.85%, 13, 6, 7, 62.5
Saquon Barkley, NYG,33.33%, 66.67%, 9, 3, 6, 52.5
Aaron Jones, GB,58.33%, 41.67%, 12, 7, 5, 37.5
James Robinson, JAX,25.0%, 75.0%, 12, 3, 9, 83.5
Chuba Hubbard, CAR,38.46%, 61.54%, 13, 5, 8, 45.5
Ezekiel Elliott, DAL,38.46%, 61.54%, 13, 5, 8, 54.5
Joe Mixon, CIN,46.15%, 53.85%, 13, 6, 7, 68.5
Joe Mixon, CIN,38.46%, 61.54%, 13, 5, 8, 70.5
James Robinson, JAX,25.0%, 75.0%, 12, 3, 9, 80.5
Najee Harris, PIT,46.15%, 53.85%, 13, 6, 7, 65.5
Darrel Williams, KC,64.29%, 35.71%, 14, 9, 5, 16.5
Chuba Hubbard, CAR,38.46%, 61.54%, 13, 5, 8, 43.5
Ezekiel Elliott, DAL,38.46%, 61.54%, 13, 5, 8, 55.5
Saquon Barkley, NYG,22.22%, 77.78%, 9, 2, 7, 55.5
Aaron Jones, GB,58.33%, 41.67%, 12, 7, 5, 37.5
Rhamondre Stevenson, NE,20.0%, 80.0%, 10, 2, 8, 70.5
Leonard Fournette, TB,46.15%, 53.85%, 13, 6, 7, 62.5
Ryan Tannehill, TEN,53.85%, 46.15%, 13, 7, 6, 15.5
Jonathan Taylor, IND,57.14%, 42.86%, 14, 8, 6, 92.5
James Conner, ARI,38.46%, 61.54%, 13, 5, 8, 55.5
Deebo Samuel, SF,25.0%, 75.0%, 12, 3, 9, 36.5
AJ Dillon , GB,46.15%, 53.85%, 13, 6, 7, 55.5
Austin Ekeler, LAC,78.57%, 21.43%, 14, 11, 3, 45.5
Myles Gaskin, MIA,23.08%, 76.92%, 13, 3, 10, 54.5
Michael Carter, NYJ,40.0%, 60.0%, 10, 4, 6, 48.5
Alvin Kamara, NO,66.67%, 33.33%, 9, 6, 3, 52.5
Cordarrelle Patterson, ATL,50.0%, 50.0%, 12, 6, 6, 48.5
Devin Singletary, BUF,30.77%, 69.23%, 13, 4, 9, 50.5
Clyde Edwards-Helaire, KC,33.33%, 66.67%, 9, 3, 6, 57.5

